state,last_action_name,org:resource,AMOUNT_REQ,remaining_time_minutes,execution_time_minutes,initial
67,W_Nabellen offertes,0,44303.813524590165,11738.478036287568,30248.294646789618,False
68,O_SENT_BACK,11049,43816.69154228856,6738.763843200663,27724.321383830844,False
69,A_DECLINED,10972,45238.126760563384,0.07340962441312641,24054.236927934275,False
70,O_DECLINED,10972,45238.126760563384,0.07340915492960436,24054.236927934275,False
71,W_Valideren aanvraag,10972,43292.72593800979,2822.901316557912,28125.201633469274,False
72,archive_application,10972,44890.606177606176,0.0,28076.94206898327,False
73,W_Nabellen offertes,0,9431.469716775598,19252.314195192444,27627.09325580247,False
74,O_SENT_BACK,11259,9371.573913043478,16490.133345942028,30450.6087457971,False
75,W_Valideren aanvraag,10138,19754.08618127786,3727.0037929420505,40237.35012729074,False
76,W_Nabellen incomplete dossiers,0,8640.520833333334,15180.094981684028,33521.59434435764,False
77,W_Nabellen incomplete dossiers,0,19536.207974980454,6159.975639236382,42134.35855900443,False
78,O_ACCEPTED,10138,19944.305,0.13341933333327688,40335.58996991666,False
79,A_APPROVED,10138,19944.305,0.13341558333329886,40335.58996991666,False
80,A_REGISTERED,10138,19944.305,0.1334105833333706,40335.58996991666,False
81,A_ACTIVATED,10138,19944.305,0.13340908333337212,40335.58996991666,False
82,archive_application,112,20915.293103448275,0.0,41937.54419287995,False
83,W_Nabellen incomplete dossiers,0,8851.28949107733,2786.127968313505,22204.89812443269,False
84,O_DECLINED,10609,8060.797687861272,0.06836078998070125,19178.31803993256,False
85,A_DECLINED,10609,8060.797687861272,0.06836131984579558,19178.31803993256,False
86,W_Completeren aanvraag,0,9165.649876717154,22214.444725413876,23500.22262399906,False
87,A_ACCEPTED,11189,9486.33960720131,21930.599457364973,22911.987716230222,False
88,O_SELECTED,11189,9684.67077922078,21789.067823495672,23435.080600183985,False
89,A_FINALIZED,11189,9486.33960720131,21925.591759042556,22911.987716230222,False
90,O_CREATED,11189,9684.67077922078,21789.004775064936,23435.080600183985,False
91,O_SENT,11189,9684.67077922078,21789.003805,23435.080600183985,False
92,O_CANCELLED,11122,10446.811320754718,21264.438024842766,25445.204827201258,False
93,start,112,8316.981132075472,5213.6024248427675,5213.6024248427675,True
94,A_SUBMITTED,112,8316.981132075472,5213.6024248427675,5213.6024248427675,False
95,A_PARTLYSUBMITTED,112,8316.981132075472,5213.595327987421,5213.6024248427675,False
96,A_PREACCEPTED,112,8809.602564102564,8886.7678502849,9117.547922364673,False
97,W_Afhandelen leads,0,9595.595121951219,10089.231471382112,10481.877259105693,False
98,A_CANCELLED,11181,8640.866666666667,0.04228398692811977,17642.88571415033,False
99,O_SENT_BACK,11049,9495.735294117647,35300.74434705882,56007.778329901965,False
100,W_Valideren aanvraag,10609,10222.326086956522,35293.29207826087,61974.90226195652,False
101,W_Nabellen incomplete dossiers,0,9939.587443946188,34935.01324043349,63000.723446487296,False
102,W_Nabellen incomplete dossiers,10913,9404.738416422288,9281.022281045944,61558.83694481916,False
103,A_CANCELLED,112,8359.103064066852,32.269303806870816,54376.95453909006,False
104,O_CANCELLED,112,8660.521252796421,2856.6834898583147,54367.38853113348,False
105,start,112,45593.142857142855,55902.81899484127,55902.81899484127,True
106,A_SUBMITTED,112,45593.142857142855,55902.81899484127,55902.81899484127,False
107,A_PARTLYSUBMITTED,112,45593.142857142855,55902.81096825396,55902.81899484127,False
108,A_PREACCEPTED,112,45593.142857142855,55676.404018253976,55902.81899484127,False
109,W_Afhandelen leads,10910,45610.97142857143,52131.92768142858,52805.07145904761,False
110,W_Completeren aanvraag,0,44533.03846153846,53542.557003525646,56365.56503910256,False
111,A_ACCEPTED,11122,45615.11111111111,54488.95991255143,56183.21591460906,False
112,O_SELECTED,11200,45537.10769230769,49773.48111551282,60081.155330384616,False
113,A_FINALIZED,11122,45615.11111111111,54485.44965740741,56183.21591460906,False
114,O_CREATED,11200,45537.10769230769,49773.404585,60081.155330384616,False
115,O_SENT,11200,45537.10769230769,49773.40340487179,60081.155330384616,False
116,W_Nabellen offertes,0,46243.945701357465,40795.80679144043,67267.41709634238,False
117,A_CANCELLED,112,47110.02631578947,0.02755723684200156,30715.845142105256,False
118,O_CANCELLED,112,45388.339622641506,7356.647113626835,29439.11375041928,False
119,W_Nabellen incomplete dossiers,0,43619.138138138136,5562.970085585585,30561.809861486483,False
120,O_ACCEPTED,10972,43164.267857142855,0.13505476190497184,28836.3655641369,False
121,A_APPROVED,10972,43164.267857142855,0.1350507440477356,28836.3655641369,False
122,A_REGISTERED,10972,43164.267857142855,0.13504657738073028,28836.3655641369,False
123,A_ACTIVATED,10972,43164.267857142855,0.13504360119035091,28836.3655641369,False
124,W_Afhandelen leads,0,9219.905940594059,22830.479555033005,23207.875341377883,False
125,start,112,14407.762711864407,83315.10816172314,83315.10816172317,True
126,A_SUBMITTED,112,14407.762711864407,83315.10816172314,83315.10816172317,False
127,A_PARTLYSUBMITTED,112,14407.762711864407,83315.09779745765,83315.10816172317,False
128,A_PREACCEPTED,112,14407.762711864407,83201.52682062145,83315.10816172317,False
129,W_Completeren aanvraag,0,13672.700239808153,82891.30316438849,85764.01810219823,False
130,A_ACCEPTED,11169,14456.070796460177,82044.45358038349,84044.81410368733,False
131,O_SELECTED,11180,14555.35885167464,72015.75737328548,87450.64999952153,False
132,A_FINALIZED,11169,14456.070796460177,82002.25088569321,84044.81410368733,False
133,O_CREATED,11180,14555.35885167464,72015.71867208931,87450.64999952153,False
134,O_SENT,11180,14555.35885167464,72015.71762145136,87450.64999952153,False
135,O_CANCELLED,11180,14672.229166666666,60260.82229947918,91459.6026685764,False
136,W_Nabellen offertes,0,14650.71554993679,63321.06861430678,91466.89869458493,False
137,O_SENT_BACK,10899,44529.41176470588,41705.84000784314,74925.36489313726,False
138,W_Valideren aanvraag,10972,46888.88888888889,37542.01820416666,75837.58193333333,False
139,W_Nabellen incomplete dossiers,10913,46887.755102040814,36332.476211111105,84379.85584591836,False
140,W_Afhandelen leads,0,10267.170124481328,45012.72562385892,45363.69709903181,False
141,O_SENT_BACK,11049,12773.809523809523,68807.81021984127,94328.11011428571,False
142,W_Valideren aanvraag,10138,13577.160493827161,62090.71589423868,100888.6572351852,False
143,W_Nabellen incomplete dossiers,11002,12861.842105263158,55563.08381072125,101830.87882358674,False
144,start,112,26522.74530831099,37469.96000049151,37469.96000049151,True
145,A_SUBMITTED,112,26522.74530831099,37469.96000049151,37469.96000049151,False
146,A_PARTLYSUBMITTED,112,26522.74530831099,37469.948590661304,37469.96000049151,False
147,A_PREACCEPTED,112,26380.735135135135,37515.15622225225,37599.80875495495,False
148,W_Afhandelen leads,0,26514.187050359713,36574.86990995204,36908.542768345316,False
149,A_ACCEPTED,11189,26183.13783783784,36817.558131081074,38070.72700873874,False
150,A_FINALIZED,11189,26183.13783783784,36805.352716486486,38070.72700873874,False
151,O_SELECTED,11189,26415.716831683167,36137.9869649505,39121.131656171616,False
152,O_CREATED,11189,26415.716831683167,36137.93318161717,39121.131656171616,False
153,O_SENT,11189,26415.716831683167,36137.932225511555,39121.131656171616,False
154,W_Completeren aanvraag,0,25833.19133192389,36988.83768465469,38655.89891478154,False
155,W_Nabellen offertes,0,26765.419847328245,30696.68830164122,43694.572570089054,False
156,W_Nabellen offertes,0,20329.98434564809,8696.334021738676,42457.55849065957,False
157,O_CANCELLED,112,21077.031700288186,2844.797629538905,43079.246778338136,False
158,A_CANCELLED,112,21723.281853281853,0.016579343629204806,43870.40641814672,False
159,O_CANCELLED,10909,24620.184375,6184.0396489062505,17760.791551145834,False
160,A_CANCELLED,11181,24402.586666666666,0.04489677777773371,16562.312642333334,False
161,O_SENT_BACK,11259,19771.38306451613,6812.9453678091395,39779.05447688171,False
162,W_Nabellen incomplete dossiers,0,26086.549019607843,3698.5178791881663,21000.871770915033,False
163,W_Afhandelen leads,0,44436.46575342466,18172.086523744292,18387.243053196347,False
164,O_SELECTED,10609,9868.932584269663,14430.148439325842,54252.54009438201,False
165,O_CREATED,10609,9868.932584269663,14430.050372846441,54252.54009438201,False
166,O_SENT,10609,9868.932584269663,14430.049268726594,54252.54009438201,False
167,O_CANCELLED,112,46032.7868852459,33725.10391612021,70790.81625437159,False
168,O_DECLINED,10809,20767.612903225807,0.08599677419342991,38902.326225537625,False
169,A_DECLINED,10809,20767.612903225807,0.08599677419342991,38902.326225537625,False
170,O_CANCELLED,11122,27053.155555555557,34308.91045395063,42000.01846765432,False
171,W_Afhandelen leads,0,24189.318840579712,15674.371429710143,15908.33997463768,False
172,A_DECLINED,10609,8449.056603773584,0.0741097484278039,54644.66609968553,False
173,O_DECLINED,10609,8449.056603773584,0.07410911949704795,54644.66609968553,False
174,O_DECLINED,10138,24830.393258426968,0.07164044943832716,17259.57416516854,False
175,A_DECLINED,10138,24830.393258426968,0.07164138576790516,17259.57416516854,False
176,O_SELECTED,11202,19175.0,11217.50549659091,40750.72011117424,False
177,O_CREATED,11202,19175.0,11217.444560227272,40750.72011117424,False
178,O_SENT,11202,19175.0,11217.443280492425,40750.72011117424,False
179,W_Beoordelen fraude,10188,10277.777777777777,2568.657737962963,21459.563705555556,False
180,W_Valideren aanvraag,10609,8432.424242424242,17499.561565151515,33844.73497575757,False
181,W_Afhandelen leads,10910,15677.904761904761,83546.58977301588,83952.35548809523,False
182,O_SENT_BACK,11049,26447.82608695652,30222.27859855072,49482.774579710145,False
183,W_Valideren aanvraag,11289,29285.0,32494.784805833333,54621.515100416655,False
184,W_Nabellen incomplete dossiers,11049,28526.829268292684,30148.996082926835,52867.79949674796,False
185,W_Beoordelen fraude,10188,5000.0,15258.431966666667,40099.0561,False
186,W_Beoordelen fraude,10188,10000.0,31296.94956111111,34020.500433333335,False
187,W_Beoordelen fraude,10188,21000.0,27198.854516666666,35600.58956666666,False
188,W_Completeren aanvraag,0,8000.0,19497.448958333334,47580.07451666667,False
189,A_ACCEPTED,10859,8000.0,18934.966200000003,47580.07451666667,False
190,A_FINALIZED,10859,8000.0,18930.3704,47580.07451666667,False
191,W_Beoordelen fraude,10809,17142.85714285714,10313.345678571428,40066.238723809525,False
192,A_CANCELLED,112,48583.333333333336,0.01802222222219522,88210.84063749999,False
193,archive_application,112,48583.333333333336,0.0,88210.84063749999,False
194,W_Beoordelen fraude,10809,25750.0,4877.517252777777,18388.891616666668,False
195,W_Beoordelen fraude,10188,10000.0,90734.33236666665,92459.6994,False
196,W_Beoordelen fraude,10188,45000.0,862.2509916666659,35236.041283333325,False
