state,last_action_name,AMOUNT_REQ,remaining_time_minutes,execution_time_minutes,initial
156,W_Nabellen offertes,medium,medium,medium,False
157,O_CANCELLED,medium,low,medium,False
158,A_CANCELLED,medium,low,medium,False
159,O_CANCELLED,medium,low,low,False
160,A_CANCELLED,medium,low,low,False
161,O_SENT_BACK,medium,low,medium,False
162,W_Nabellen incomplete dossiers,high,low,low,False
163,W_Afhandelen leads,high,medium,low,False
164,O_SELECTED,medium,medium,high,False
165,O_CREATED,medium,medium,high,False
166,O_SENT,medium,medium,high,False
167,O_CANCELLED,high,high,high,False
168,O_DECLINED,medium,low,medium,False
169,A_DECLINED,medium,low,medium,False
170,O_CANCELLED,high,high,medium,False
171,W_Afhandelen leads,medium,medium,low,False
172,A_DECLINED,low,low,high,False
173,O_DECLINED,low,low,high,False
174,O_DECLINED,medium,low,low,False
175,A_DECLINED,medium,low,low,False
176,O_SELECTED,medium,medium,medium,False
177,O_CREATED,medium,medium,medium,False
178,O_SENT,medium,medium,medium,False
179,W_Beoordelen fraude,medium,low,low,False
180,W_Valideren aanvraag,low,medium,medium,False
181,W_Afhandelen leads,medium,high,high,False
182,O_SENT_BACK,high,high,high,False
183,W_Valideren aanvraag,high,high,high,False
184,W_Nabellen incomplete dossiers,high,high,high,False
185,W_Beoordelen fraude,low,medium,medium,False
186,W_Beoordelen fraude,medium,high,medium,False
187,W_Beoordelen fraude,medium,medium,medium,False
188,W_Completeren aanvraag,low,medium,high,False
189,A_ACCEPTED,low,medium,high,False
190,A_FINALIZED,low,medium,high,False
191,W_Beoordelen fraude,medium,medium,medium,False
192,A_CANCELLED,high,low,high,False
193,archive_application,high,low,high,False
194,W_Beoordelen fraude,high,low,low,False
195,W_Beoordelen fraude,medium,high,high,False
196,W_Beoordelen fraude,high,low,medium,False
