state,action_index,action,next_state,probability
15,30,Permit REJECTED by ADMINISTRATION,49,1.0
49,25,Permit REJECTED by EMPLOYEE,48,1.0
48,13,archive_application,32,1.0
1,30,Permit REJECTED by ADMINISTRATION,50,1.0
50,25,Permit REJECTED by EMPLOYEE,41,1.0
44,18,Send Reminder,44,1.0
3,22,Permit APPROVED by SUPERVISOR,38,1.0
36,31,Declaration SAVED by EMPLOYEE,51,1.0
51,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
19,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
21,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
16,5,Start trip,25,1.0
25,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,6,End trip,26,1.0
5,22,Permit APPROVED by SUPERVISOR,38,1.0
39,6,End trip,6,1.0
9,32,Declaration APPROVED by SUPERVISOR,52,1.0
52,33,Declaration FINAL_APPROVED by DIRECTOR,53,1.0
53,11,Request Payment,11,1.0
25,3,Permit APPROVED by BUDGET OWNER,19,1.0
19,22,Permit APPROVED by SUPERVISOR,54,1.0
54,23,Permit FINAL_APPROVED by DIRECTOR,55,1.0
55,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
17,34,Request For Payment REJECTED by ADMINISTRATION,56,1.0
56,35,Request For Payment REJECTED by EMPLOYEE,57,1.0
57,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
24,6,End trip,26,1.0
20,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
38,6,End trip,6,1.0
6,23,Permit FINAL_APPROVED by DIRECTOR,39,1.0
21,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
8,32,Declaration APPROVED by SUPERVISOR,52,1.0
20,13,archive_application,32,1.0
26,3,Permit APPROVED by BUDGET OWNER,19,1.0
4,18,Send Reminder,44,1.0
56,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,35,Request For Payment REJECTED by EMPLOYEE,57,1.0
28,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
25,8,Declaration APPROVED by ADMINISTRATION,29,1.0
29,6,End trip,26,1.0
26,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
26,31,Declaration SAVED by EMPLOYEE,51,1.0
51,13,archive_application,32,1.0
2,18,Send Reminder,44,1.0
44,4,Permit FINAL_APPROVED by SUPERVISOR,4,1.0
26,21,Permit SAVED by EMPLOYEE,37,1.0
37,13,archive_application,32,1.0
16,22,Permit APPROVED by SUPERVISOR,54,1.0
16,26,Permit REJECTED by BUDGET OWNER,58,1.0
58,25,Permit REJECTED by EMPLOYEE,48,1.0
48,1,Permit SUBMITTED by EMPLOYEE,15,1.0
29,32,Declaration APPROVED by SUPERVISOR,59,1.0
59,33,Declaration FINAL_APPROVED by DIRECTOR,60,1.0
60,11,Request Payment,23,1.0
28,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
26,19,Declaration REJECTED by ADMINISTRATION,35,1.0
50,1,Permit SUBMITTED by EMPLOYEE,1,1.0
1,25,Permit REJECTED by EMPLOYEE,41,1.0
55,5,Start trip,25,1.0
25,1,Permit SUBMITTED by EMPLOYEE,15,1.0
10,12,Payment Handled,12,1.0
35,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
18,20,Declaration REJECTED by EMPLOYEE,36,1.0
36,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
56,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
22,35,Request For Payment REJECTED by EMPLOYEE,57,1.0
30,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
23,9,Declaration APPROVED by BUDGET OWNER,30,1.0
18,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
24,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
56,5,Start trip,25,1.0
25,35,Request For Payment REJECTED by EMPLOYEE,57,1.0
57,6,End trip,26,1.0
23,3,Permit APPROVED by BUDGET OWNER,19,1.0
20,12,Payment Handled,24,1.0
19,36,Permit FOR_APPROVAL by SUPERVISOR,61,1.0
61,18,Send Reminder,27,1.0
25,22,Permit APPROVED by SUPERVISOR,54,1.0
55,6,End trip,26,1.0
10,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
11,11,Request Payment,11,1.0
36,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
19,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
23,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
25,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
28,6,End trip,26,1.0
29,29,Declaration REJECTED by BUDGET OWNER,62,1.0
62,20,Declaration REJECTED by EMPLOYEE,36,1.0
12,6,End trip,6,1.0
29,28,Declaration REJECTED by SUPERVISOR,63,1.0
63,20,Declaration REJECTED by EMPLOYEE,36,1.0
7,5,Start trip,5,1.0
5,8,Declaration APPROVED by ADMINISTRATION,8,1.0
8,6,End trip,6,1.0
24,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
34,5,Start trip,5,1.0
18,18,Send Reminder,27,1.0
27,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
24,18,Send Reminder,27,1.0
16,6,End trip,26,1.0
24,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
29,5,Start trip,25,1.0
25,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
22,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
9,28,Declaration REJECTED by SUPERVISOR,45,1.0
33,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
10,20,Declaration REJECTED by EMPLOYEE,34,1.0
33,11,Request Payment,11,1.0
11,20,Declaration REJECTED by EMPLOYEE,34,1.0
9,12,Payment Handled,12,1.0
28,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
35,19,Declaration REJECTED by ADMINISTRATION,35,1.0
36,20,Declaration REJECTED by EMPLOYEE,36,1.0
23,5,Start trip,25,1.0
25,12,Payment Handled,24,1.0
26,8,Declaration APPROVED by ADMINISTRATION,29,1.0
28,5,Start trip,25,1.0
2,24,Permit REJECTED by SUPERVISOR,40,1.0
23,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
18,12,Payment Handled,24,1.0
24,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
36,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
55,18,Send Reminder,27,1.0
27,31,Declaration SAVED by EMPLOYEE,51,1.0
36,13,archive_application,32,1.0
39,31,Declaration SAVED by EMPLOYEE,64,1.0
64,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
21,37,Request For Payment APPROVED by SUPERVISOR,65,1.0
65,38,Request For Payment FINAL_APPROVED by DIRECTOR,66,1.0
66,5,Start trip,25,1.0
25,11,Request Payment,23,1.0
30,32,Declaration APPROVED by SUPERVISOR,59,1.0
25,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
17,6,End trip,26,1.0
26,15,Request For Payment APPROVED by ADMINISTRATION,18,1.0
12,11,Request Payment,11,1.0
11,13,archive_application,13,1.0
16,24,Permit REJECTED by SUPERVISOR,47,1.0
47,5,Start trip,25,1.0
26,25,Permit REJECTED by EMPLOYEE,48,1.0
30,28,Declaration REJECTED by SUPERVISOR,63,1.0
17,12,Payment Handled,24,1.0
24,15,Request For Payment APPROVED by ADMINISTRATION,18,1.0
24,8,Declaration APPROVED by ADMINISTRATION,29,1.0
22,5,Start trip,25,1.0
23,6,End trip,26,1.0
26,12,Payment Handled,24,1.0
22,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,11,Request Payment,23,1.0
6,19,Declaration REJECTED by ADMINISTRATION,33,1.0
1,6,End trip,6,1.0
6,2,Permit APPROVED by ADMINISTRATION,2,1.0
23,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
19,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
17,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,15,Request For Payment APPROVED by ADMINISTRATION,18,1.0
50,5,Start trip,5,1.0
5,25,Permit REJECTED by EMPLOYEE,41,1.0
57,5,Start trip,25,1.0
18,6,End trip,26,1.0
23,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
21,5,Start trip,25,1.0
25,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
21,12,Payment Handled,24,1.0
26,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
6,24,Permit REJECTED by SUPERVISOR,40,1.0
18,22,Permit APPROVED by SUPERVISOR,54,1.0
54,39,Request For Payment REJECTED by SUPERVISOR,67,1.0
67,23,Permit FINAL_APPROVED by DIRECTOR,55,1.0
55,35,Request For Payment REJECTED by EMPLOYEE,57,1.0
29,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
18,28,Declaration REJECTED by SUPERVISOR,63,1.0
63,39,Request For Payment REJECTED by SUPERVISOR,67,1.0
67,20,Declaration REJECTED by EMPLOYEE,36,1.0
36,35,Request For Payment REJECTED by EMPLOYEE,57,1.0
57,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
8,20,Declaration REJECTED by EMPLOYEE,34,1.0
34,20,Declaration REJECTED by EMPLOYEE,34,1.0
34,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
29,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
16,18,Send Reminder,27,1.0
27,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
18,5,Start trip,25,1.0
25,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
30,9,Declaration APPROVED by BUDGET OWNER,30,1.0
57,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
21,22,Permit APPROVED by SUPERVISOR,54,1.0
54,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
22,23,Permit FINAL_APPROVED by DIRECTOR,55,1.0
55,11,Request Payment,23,1.0
46,6,End trip,6,1.0
6,20,Declaration REJECTED by EMPLOYEE,34,1.0
9,5,Start trip,5,1.0
5,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
11,6,End trip,6,1.0
6,12,Payment Handled,12,1.0
30,31,Declaration SAVED by EMPLOYEE,51,1.0
51,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
3,18,Send Reminder,44,1.0
1,5,Start trip,5,1.0
24,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
15,5,Start trip,25,1.0
25,2,Permit APPROVED by ADMINISTRATION,16,1.0
55,31,Declaration SAVED by EMPLOYEE,51,1.0
51,6,End trip,26,1.0
18,37,Request For Payment APPROVED by SUPERVISOR,65,1.0
66,11,Request Payment,23,1.0
18,11,Request Payment,23,1.0
65,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
23,38,Request For Payment FINAL_APPROVED by DIRECTOR,66,1.0
56,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
21,35,Request For Payment REJECTED by EMPLOYEE,57,1.0
22,12,Payment Handled,24,1.0
24,11,Request Payment,23,1.0
68,1,Permit SUBMITTED by EMPLOYEE,69,1.0
69,2,Permit APPROVED by ADMINISTRATION,70,1.0
70,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
71,15,Request For Payment APPROVED by ADMINISTRATION,72,1.0
72,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
73,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,11,Request Payment,75,1.0
75,12,Payment Handled,76,1.0
76,5,Start trip,77,1.0
77,6,End trip,78,1.0
78,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
79,8,Declaration APPROVED by ADMINISTRATION,80,1.0
80,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
81,11,Request Payment,75,1.0
76,13,archive_application,82,1.0
70,22,Permit APPROVED by SUPERVISOR,83,1.0
83,23,Permit FINAL_APPROVED by DIRECTOR,84,1.0
84,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
72,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
78,13,archive_application,82,1.0
70,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
73,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
70,3,Permit APPROVED by BUDGET OWNER,85,1.0
85,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
72,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
72,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
86,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
86,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
75,11,Request Payment,75,1.0
76,12,Payment Handled,76,1.0
79,19,Declaration REJECTED by ADMINISTRATION,87,1.0
87,20,Declaration REJECTED by EMPLOYEE,88,1.0
88,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
80,9,Declaration APPROVED by BUDGET OWNER,89,1.0
89,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
77,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
71,34,Request For Payment REJECTED by ADMINISTRATION,90,1.0
90,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
91,6,End trip,78,1.0
92,1,Permit SUBMITTED by EMPLOYEE,93,1.0
93,2,Permit APPROVED by ADMINISTRATION,94,1.0
94,4,Permit FINAL_APPROVED by SUPERVISOR,95,1.0
95,5,Start trip,96,1.0
96,6,End trip,97,1.0
97,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
98,8,Declaration APPROVED by ADMINISTRATION,99,1.0
99,10,Declaration FINAL_APPROVED by SUPERVISOR,100,1.0
100,11,Request Payment,101,1.0
101,12,Payment Handled,102,1.0
102,13,archive_application,103,1.0
94,3,Permit APPROVED by BUDGET OWNER,104,1.0
104,4,Permit FINAL_APPROVED by SUPERVISOR,95,1.0
99,9,Declaration APPROVED by BUDGET OWNER,105,1.0
105,10,Declaration FINAL_APPROVED by SUPERVISOR,100,1.0
94,22,Permit APPROVED by SUPERVISOR,106,1.0
106,5,Start trip,96,1.0
96,23,Permit FINAL_APPROVED by DIRECTOR,107,1.0
107,6,End trip,97,1.0
98,19,Declaration REJECTED by ADMINISTRATION,108,1.0
108,20,Declaration REJECTED by EMPLOYEE,109,1.0
109,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
92,5,Start trip,96,1.0
97,1,Permit SUBMITTED by EMPLOYEE,93,1.0
95,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
102,5,Start trip,96,1.0
96,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
98,6,End trip,97,1.0
97,8,Declaration APPROVED by ADMINISTRATION,99,1.0
91,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
70,24,Permit REJECTED by SUPERVISOR,110,1.0
110,25,Permit REJECTED by EMPLOYEE,111,1.0
111,1,Permit SUBMITTED by EMPLOYEE,69,1.0
72,37,Request For Payment APPROVED by SUPERVISOR,112,1.0
112,38,Request For Payment FINAL_APPROVED by DIRECTOR,113,1.0
113,11,Request Payment,75,1.0
75,5,Start trip,77,1.0
77,12,Payment Handled,76,1.0
76,6,End trip,78,1.0
80,29,Declaration REJECTED by BUDGET OWNER,114,1.0
114,20,Declaration REJECTED by EMPLOYEE,88,1.0
104,22,Permit APPROVED by SUPERVISOR,106,1.0
106,23,Permit FINAL_APPROVED by DIRECTOR,107,1.0
107,5,Start trip,96,1.0
97,18,Send Reminder,115,1.0
115,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
108,6,End trip,97,1.0
97,20,Declaration REJECTED by EMPLOYEE,109,1.0
94,5,Start trip,96,1.0
96,4,Permit FINAL_APPROVED by SUPERVISOR,95,1.0
95,6,End trip,97,1.0
72,5,Start trip,77,1.0
77,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
86,6,End trip,78,1.0
78,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
76,18,Send Reminder,116,1.0
116,18,Send Reminder,116,1.0
116,13,archive_application,82,1.0
100,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
99,11,Request Payment,101,1.0
101,10,Declaration FINAL_APPROVED by SUPERVISOR,100,1.0
102,12,Payment Handled,102,1.0
97,4,Permit FINAL_APPROVED by SUPERVISOR,95,1.0
80,28,Declaration REJECTED by SUPERVISOR,117,1.0
117,20,Declaration REJECTED by EMPLOYEE,88,1.0
97,3,Permit APPROVED by BUDGET OWNER,104,1.0
72,3,Permit APPROVED by BUDGET OWNER,85,1.0
85,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
86,22,Permit APPROVED by SUPERVISOR,83,1.0
83,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,23,Permit FINAL_APPROVED by DIRECTOR,84,1.0
84,11,Request Payment,75,1.0
97,31,Declaration SAVED by EMPLOYEE,118,1.0
118,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
99,32,Declaration APPROVED by SUPERVISOR,119,1.0
119,33,Declaration FINAL_APPROVED by DIRECTOR,120,1.0
120,11,Request Payment,101,1.0
76,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
80,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
72,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
81,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
86,11,Request Payment,75,1.0
76,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,5,Start trip,77,1.0
75,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,12,Payment Handled,76,1.0
75,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
72,12,Payment Handled,76,1.0
76,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
74,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
98,5,Start trip,96,1.0
97,19,Declaration REJECTED by ADMINISTRATION,108,1.0
95,18,Send Reminder,115,1.0
96,3,Permit APPROVED by BUDGET OWNER,104,1.0
70,5,Start trip,77,1.0
78,3,Permit APPROVED by BUDGET OWNER,85,1.0
75,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
73,12,Payment Handled,76,1.0
78,18,Send Reminder,116,1.0
77,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
79,6,End trip,78,1.0
78,8,Declaration APPROVED by ADMINISTRATION,80,1.0
99,29,Declaration REJECTED by BUDGET OWNER,121,1.0
121,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
105,20,Declaration REJECTED by EMPLOYEE,109,1.0
109,10,Declaration FINAL_APPROVED by SUPERVISOR,100,1.0
104,5,Start trip,96,1.0
108,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
100,5,Start trip,96,1.0
97,11,Request Payment,101,1.0
76,11,Request Payment,75,1.0
104,6,End trip,97,1.0
74,22,Permit APPROVED by SUPERVISOR,83,1.0
85,22,Permit APPROVED by SUPERVISOR,83,1.0
84,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
87,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
86,20,Declaration REJECTED by EMPLOYEE,88,1.0
88,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
75,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
79,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
80,19,Declaration REJECTED by ADMINISTRATION,87,1.0
87,8,Declaration APPROVED by ADMINISTRATION,80,1.0
89,9,Declaration APPROVED by BUDGET OWNER,89,1.0
89,20,Declaration REJECTED by EMPLOYEE,88,1.0
81,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
86,37,Request For Payment APPROVED by SUPERVISOR,112,1.0
107,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
97,13,archive_application,103,1.0
104,24,Permit REJECTED by SUPERVISOR,122,1.0
122,25,Permit REJECTED by EMPLOYEE,123,1.0
123,1,Permit SUBMITTED by EMPLOYEE,93,1.0
96,1,Permit SUBMITTED by EMPLOYEE,93,1.0
102,6,End trip,97,1.0
68,5,Start trip,77,1.0
78,1,Permit SUBMITTED by EMPLOYEE,69,1.0
73,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
88,13,archive_application,82,1.0
71,3,Permit APPROVED by BUDGET OWNER,85,1.0
73,15,Request For Payment APPROVED by ADMINISTRATION,72,1.0
76,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
80,6,End trip,78,1.0
121,20,Declaration REJECTED by EMPLOYEE,109,1.0
99,6,End trip,97,1.0
97,10,Declaration FINAL_APPROVED by SUPERVISOR,100,1.0
105,32,Declaration APPROVED by SUPERVISOR,119,1.0
102,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
70,27,Request For Payment SAVED by EMPLOYEE,124,1.0
124,3,Permit APPROVED by BUDGET OWNER,85,1.0
73,5,Start trip,77,1.0
99,28,Declaration REJECTED by SUPERVISOR,125,1.0
125,20,Declaration REJECTED by EMPLOYEE,109,1.0
99,20,Declaration REJECTED by EMPLOYEE,109,1.0
94,6,End trip,97,1.0
94,26,Permit REJECTED by BUDGET OWNER,126,1.0
126,25,Permit REJECTED by EMPLOYEE,123,1.0
91,5,Start trip,77,1.0
72,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
79,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
74,19,Declaration REJECTED by ADMINISTRATION,87,1.0
87,11,Request Payment,75,1.0
76,20,Declaration REJECTED by EMPLOYEE,88,1.0
