state,last_action_name,OrganizationalEntity,TaskNumber,Overspent,Cost Type_0,Project_0,Resource,Role,ProjectNumber,ActivityNumber,travel permit number,BudgetNumber,DeclarationNumber_0,RfpNumber_0,Task_0,TotalDeclared,RequestedAmount_0,RequestedBudget,OverspentAmount,execution_time_minutes
26,End trip,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,EMPLOYEE,175.30603174603175,134.92,38.724444444444444,118.90539682539682,3169.338412698413,10.20063492063492,4.972698412698413,320.99500123773015,158.47386951063092,994.3775364269598,-652.3097706081422,160227.44973544974
27,Send Reminder,organizational unit 65458,missing,False,missing,missing,SYSTEM,UNDEFINED,149.7895910780669,135.77397769516728,9.982899628252788,110.7903345724907,3170.0,1.341263940520446,0.7100371747211895,18.275573729477276,14.015284212842163,656.0212724808484,-615.7951960421448,225768.1694795539
28,Declaration SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,223.3681592039801,137.30679933665007,120.71973466003317,128.61691542288557,3167.190713101161,28.40630182421227,14.800995024875622,959.9193089764212,445.27070954792003,1254.9881663022009,-218.07776326070464,111896.82645107794
29,Declaration APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,ADMINISTRATION,178.11764705882354,135.22941176470587,311.6411764705882,112.91764705882353,3164.6882352941175,57.45882352941177,37.33529411764706,1468.7252660408567,641.6587154078946,1684.9515493757851,-133.7623290049237,146771.35068627453
30,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,BUDGET OWNER,142.74193548387098,130.67741935483872,364.4193548387097,98.59677419354838,3170.0,67.29032258064517,41.403225806451616,1526.3743252288489,647.223653845323,1767.1501168947627,-208.5237098652764,133364.48279569892
31,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,236.85907335907336,137.6042471042471,95.48262548262548,130.86293436293437,3167.355212355212,24.123552123552123,12.961389961389962,893.9165984304201,438.277911192205,1193.5421464500591,-234.32345736356328,107244.81927284428
32,archive_application,organizational unit 65458,missing,False,missing,missing,SYSTEM,UNDEFINED,175.30603174603175,134.92,38.724444444444444,118.90539682539682,3169.338412698413,10.20063492063492,4.972698412698413,320.99500123773015,158.47386951063092,994.3775364269598,-652.3097706081422,160227.44973544974
33,Declaration REJECTED by ADMINISTRATION,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,ADMINISTRATION,111.95808383233533,132.34131736526948,368.8502994011976,98.49101796407186,282.5568862275449,0.0,0.0,1024.344509402253,290.5329341317365,1082.1701274313311,-59.40883573227058,123266.32974051898
34,Declaration REJECTED by EMPLOYEE,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,EMPLOYEE,112.8659217877095,132.7877094972067,369.60893854748605,96.48603351955308,283.268156424581,0.0,0.0,1019.2381028994818,294.6368715083799,1099.125473494626,-79.6158174681316,123158.16880819367
35,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,ADMINISTRATION,135.6086956521739,136.5072463768116,282.1014492753623,113.57971014492753,3170.0,44.94202898550725,23.07246376811594,1282.1768294707244,488.4018784876892,1645.1404865833567,-125.10607559439798,140127.24323671494
36,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,131.77215189873417,135.22784810126583,273.873417721519,112.79746835443038,3165.8734177215188,54.25316455696203,24.556962025316455,1243.5014929481254,453.068124425942,1614.2066644744252,-177.87960218381716,143247.14303797472
37,Permit SAVED by EMPLOYEE,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,EMPLOYEE,189.875,138.5625,0.0625,119.625,3170.0,0.0,0.0,0.0,0.0,1151.6762858721474,-1218.1878037022886,160892.128125
38,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,126.88372093023256,129.3953488372093,349.51162790697674,121.81395348837209,267.6511627906977,0.0,0.0,2157.1192807177185,74.53488372093024,3064.166157159322,-1086.7501446284455,137255.53798449613
39,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,DIRECTOR,126.88372093023256,129.3953488372093,349.51162790697674,121.81395348837209,267.6511627906977,0.0,0.0,2157.1192807177185,74.53488372093024,3064.166157159322,-1086.7501446284455,137255.53798449613
40,Permit REJECTED by SUPERVISOR,organizational unit 65466,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,174.66666666666666,139.0,427.3333333333333,55.666666666666664,326.5833333333333,0.0,0.0,747.9762924361576,361.6666666666667,1021.6136804475624,-194.26764077889865,243784.19027777776
41,Permit REJECTED by EMPLOYEE,organizational unit 65466,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,92.05882352941177,131.5,354.2647058823529,84.58823529411765,271.05882352941177,0.0,0.0,880.5128650405836,281.0882352941176,1004.0971871967935,-99.65043550079193,203751.5676470588
42,Permit REJECTED by BUDGET OWNER,organizational unit 65480,task 427,False,missing,missing,STAFF MEMBER,BUDGET OWNER,13.0,139.0,332.0,146.33333333333334,253.66666666666666,0.0,0.0,518.5132212655836,204.0,633.5435659163794,-244.87707959280615,112547.4888888889
43,Request For Payment SAVED by EMPLOYEE,organizational unit 65454,missing,True,0.0,project 503,STAFF MEMBER,EMPLOYEE,120.0,139.0,44.0,122.5,3170.0,0.0,4.0,2623.758349515859,1397.9577832873408,1815.0667135168062,1067.0086178555646,105414.03333333334
44,Send Reminder,organizational unit 65458,task 427,False,missing,missing,SYSTEM,UNDEFINED,119.9074074074074,129.88888888888889,420.72222222222223,103.11111111111111,323.1296296296296,0.0,0.0,852.0610168213294,265.72222222222223,929.0683548629544,-242.11840932791185,179440.89166666672
45,Declaration REJECTED by SUPERVISOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,215.14285714285714,139.0,363.85714285714283,60.857142857142854,280.57142857142856,0.0,0.0,899.6818393271295,443.42857142857144,1370.483298221967,-423.4286021254017,110159.0642857143
46,Declaration REJECTED by BUDGET OWNER,organizational unit 65460,missing,False,missing,missing,STAFF MEMBER,BUDGET OWNER,0.0,139.0,404.6666666666667,77.66666666666667,311.0,0.0,0.0,903.1069241868877,277.3333333333333,1276.902893010921,-264.0484884764298,131644.24166666667
47,Permit REJECTED by SUPERVISOR,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,SUPERVISOR,133.0,118.75,24.333333333333332,126.95833333333333,3170.0,5.0,0.0,77.45850664891766,34.366589059603534,1035.094063905892,-938.6550059079483,95947.28958333332
48,Permit REJECTED by EMPLOYEE,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,EMPLOYEE,120.56410256410257,124.66666666666667,35.782051282051285,109.37179487179488,3170.0,4.435897435897436,0.21794871794871795,86.76384224215134,34.43304768228801,1148.0133436459796,-1057.1226505941295,120709.50192307692
49,Permit REJECTED by ADMINISTRATION,organizational unit 65456,missing,False,missing,missing,STAFF MEMBER,ADMINISTRATION,123.3,132.775,43.65,91.525,3170.0,3.775,0.425,99.17462360143463,39.50702262248528,1140.250660488842,-1040.892556193457,125717.05708333333
50,Permit REJECTED by ADMINISTRATION,organizational unit 65466,task 427,False,missing,missing,STAFF MEMBER,ADMINISTRATION,52.36842105263158,125.57894736842105,311.63157894736844,93.10526315789474,238.73684210526315,0.0,0.0,1021.3780125446946,242.3684210526316,1051.5426053458468,-16.961677836932793,192868.44999999998
51,Declaration SAVED by EMPLOYEE,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,EMPLOYEE,156.1875,136.71875,75.75,131.9375,3170.03125,0.0,0.0,183.31820655057587,28.0625,977.3169985349606,-729.4051756690831,118045.60364583334
52,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,158.15,133.75,370.2,136.8,284.35,0.0,0.0,2750.943406849271,0.0,2644.1994152645048,-254.65277439989254,107155.58416666665
53,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,DIRECTOR,158.15,133.75,370.2,136.8,284.35,0.0,0.0,2750.943406849271,0.0,2644.1994152645048,-254.65277439989254,107155.58416666665
54,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,149.7741935483871,134.7016129032258,97.20967741935483,124.73387096774194,3170.1935483870966,25.556451612903224,15.435483870967742,840.4694056267228,221.30343222901314,3308.160950269457,-2595.909600774363,180200.25725806452
55,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,DIRECTOR,150.98373983739836,134.66666666666666,98.0,125.1219512195122,3170.1951219512193,25.764227642276424,15.560975609756097,847.302490225314,223.10264712518398,3312.2512890678736,-2593.0160107808097,181051.32479674797
56,Request For Payment REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,ADMINISTRATION,227.77777777777777,139.0,368.44444444444446,67.85185185185185,3170.0,59.407407407407405,58.148148148148145,2094.7180859345567,759.6215997529404,2323.9719012800897,-635.858396113679,150385.25555555557
57,Request For Payment REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,223.67741935483872,139.0,337.83870967741933,79.29032258064517,3170.0,51.516129032258064,50.54838709677419,2019.432470376414,727.6952719045477,2384.6054036108285,-716.4825390951074,149286.81989247314
58,Permit REJECTED by BUDGET OWNER,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,BUDGET OWNER,46.90909090909091,104.18181818181819,41.90909090909091,128.0,3170.0,6.818181818181818,0.0,85.59914465967229,25.518061535324442,1190.4166402912017,-1133.3405707699917,189214.2575757576
59,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,True,0.0,project 503,STAFF MEMBER,SUPERVISOR,334.75,139.0,255.5,174.0,3170.25,52.5,67.75,3880.1867509113163,1020.8975382418034,2389.808118162704,1032.6218737388913,120457.62916666667
60,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,True,0.0,project 503,STAFF MEMBER,DIRECTOR,334.75,139.0,255.5,174.0,3170.25,52.5,67.75,3880.1867509113163,1020.8975382418034,2389.808118162704,1032.6218737388913,120457.62916666667
61,Permit FOR_APPROVAL by SUPERVISOR,organizational unit 65457,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,466.0,139.0,1.0,65.0,3170.0,0.0,0.0,0.0,0.0,688.1034604260909,-1196.106050776066,154440.9
62,Declaration REJECTED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,BUDGET OWNER,152.0,139.0,384.0,99.5,3170.0,78.0,38.0,631.2083499150772,464.1066664689529,671.1580572247303,18.745636921114084,96297.22499999999
63,Declaration REJECTED by SUPERVISOR,organizational unit 65457,missing,False,0.0,project 503,STAFF MEMBER,SUPERVISOR,142.57142857142858,121.0,297.0,76.42857142857143,3170.1428571428573,35.142857142857146,38.857142857142854,1215.1779009961904,291.8053803801205,1469.5821568088018,-237.97517248674987,155810.03809523812
64,Declaration SAVED by EMPLOYEE,organizational unit 65459,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,61.0,139.0,310.0,187.0,233.0,0.0,0.0,1169.6057427037051,0.0,4138.576910256771,-1350.5364629860185,78811.13333333333
65,Request For Payment APPROVED by SUPERVISOR,organizational unit 65464,task 427,False,0.0,project 503,STAFF MEMBER,SUPERVISOR,706.6666666666666,139.0,572.3333333333334,90.66666666666667,3170.0,120.33333333333333,141.33333333333334,10297.619228718098,879.8999621768926,10461.743466851969,-6830.291945013402,379042.0944444444
66,Request For Payment FINAL_APPROVED by DIRECTOR,organizational unit 65464,task 427,False,0.0,project 503,STAFF MEMBER,DIRECTOR,706.6666666666666,139.0,572.3333333333334,90.66666666666667,3170.0,120.33333333333333,141.33333333333334,10297.619228718098,879.8999621768926,10461.743466851969,-6830.291945013402,379042.0944444444
67,Request For Payment REJECTED by SUPERVISOR,organizational unit 65464,task 427,False,0.0,project 503,STAFF MEMBER,SUPERVISOR,200.6,139.0,220.4,164.8,3170.0,22.4,14.4,1604.3777986979778,529.5026204834251,2477.1502241428448,-952.5786204338431,136856.52666666667
68,start,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,176.3156146179402,130.8936877076412,1342.734219269103,119.1328903654485,3170.0,266.9734219269103,69.45847176079734,1585.50336240312,769.4639213775363,1871.75231305362,-207.06293561351484,158981.834606866
69,Permit SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,173.90282131661442,130.0846394984326,1345.7868338557994,118.67084639498432,3170.0,263.7147335423198,68.03448275862068,1590.6568277316385,773.4741018551177,1907.1423860532182,-242.72118944058428,160011.75726227794
70,Permit APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,ADMINISTRATION,173.2120253164557,130.0,1344.48417721519,118.39556962025317,3170.0,264.46835443037975,68.11075949367088,1591.9053633973238,773.6134173627757,1910.9147787302168,-244.75212887612173,159691.0931434599
71,Request For Payment SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,170.8860759493671,129.49789029535864,1341.23417721519,112.88818565400844,3170.0,282.0822784810127,70.67721518987342,1941.6393480068602,749.2405046541196,2126.046850983584,-81.73423304664858,168141.307278481
72,Request For Payment APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,ADMINISTRATION,171.37831325301204,129.83132530120483,1327.7759036144578,111.90602409638554,3170.0,284.77590361445783,70.50843373493976,1937.6914872954578,734.613530705422,2124.361002359406,-71.2206581781515,169239.13429718872
73,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,SUPERVISOR,178.7710843373494,132.13654618473896,1345.8353413654618,114.33333333333333,3170.0,266.3975903614458,69.23293172690764,1366.6633664521876,662.4032851386779,1525.64070722754,-60.52000663675565,154649.99819277108
74,Request For Payment FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,SUPERVISOR,172.79551122194513,129.73067331670822,1331.211970074813,111.39650872817955,3170.0,286.8753117206983,71.06733167082294,1903.1982014330777,697.4940776633856,2100.994155794415,-46.258000119234026,169225.8872817955
75,Request Payment,organizational unit 65456,task 427,False,0.0,project 503,SYSTEM,UNDEFINED,173.02349486049926,130.3230543318649,1340.5286343612336,114.36563876651982,3170.0,280.8913362701909,70.69456681350954,1859.6067678561596,759.7819166972374,2056.4962403257637,-64.6068136333526,163782.30690161526
76,Payment Handled,organizational unit 65456,task 427,False,0.0,project 503,SYSTEM,UNDEFINED,173.02349486049926,130.3230543318649,1340.5286343612336,114.36563876651982,3170.0,280.8913362701909,70.69456681350954,1859.6067678561596,759.7819166972374,2056.4962403257637,-64.6068136333526,163782.30690161526
77,Start trip,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,176.3156146179402,130.8936877076412,1342.734219269103,119.1328903654485,3170.0,266.9734219269103,69.45847176079734,1585.50336240312,769.4639213775363,1871.75231305362,-207.06293561351484,158981.834606866
78,End trip,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,176.3156146179402,130.8936877076412,1342.734219269103,119.1328903654485,3170.0,266.9734219269103,69.45847176079734,1585.50336240312,769.4639213775363,1871.75231305362,-207.06293561351484,158981.834606866
79,Declaration SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,EMPLOYEE,173.3864229765013,130.34725848563968,1342.201044386423,118.0182767624021,3170.0,264.7467362924282,67.73368146214099,1800.8979832090477,817.2671751811445,1968.2819104101497,-84.28572668129273,153874.1498694517
80,Declaration APPROVED by ADMINISTRATION,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,ADMINISTRATION,174.5503597122302,131.11510791366908,1348.2086330935251,118.46762589928058,3170.0,270.28776978417267,70.33093525179856,1761.6646373425094,805.9071619881421,1956.5903454862507,-69.63497358221946,155262.7426258993
81,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,SUPERVISOR,175.27985074626866,130.82089552238807,1358.0708955223881,117.55597014925372,3170.0,272.28731343283584,70.51492537313433,1740.2862662174696,797.1826094729685,1929.856524845258,-65.45523103685672,154991.04527363184
82,archive_application,organizational unit 65456,task 427,False,0.0,project 503,SYSTEM,UNDEFINED,176.3156146179402,130.8936877076412,1342.734219269103,119.1328903654485,3170.0,266.9734219269103,69.45847176079734,1585.50336240312,769.4639213775363,1871.75231305362,-207.06293561351484,158981.834606866
83,Permit APPROVED by SUPERVISOR,organizational unit 65459,task 427,False,0.0,project 503,STAFF MEMBER,SUPERVISOR,164.55769230769232,124.9423076923077,1327.8846153846155,142.1153846153846,3170.0,269.7307692307692,70.53846153846153,2633.4102660912376,1282.1196602905313,3529.094425566965,-908.7781147522269,179724.66666666666
84,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65459,task 427,False,0.0,project 503,STAFF MEMBER,DIRECTOR,164.55769230769232,124.9423076923077,1327.8846153846155,142.1153846153846,3170.0,269.7307692307692,70.53846153846153,2633.4102660912376,1282.1196602905313,3529.094425566965,-908.7781147522269,179724.66666666666
85,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,BUDGET OWNER,168.84070796460176,128.30088495575222,1344.1769911504425,118.03539823008849,3170.0,261.3893805309734,67.39823008849558,1670.797823755792,812.1831256912141,2048.9112914234747,-100.56128590107882,158394.96312684368
86,Request For Payment APPROVED by BUDGET OWNER,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,BUDGET OWNER,170.13636363636363,129.6818181818182,1310.9318181818182,103.63636363636364,3170.0,281.42045454545456,71.0284090909091,2298.162213244732,784.0709351542638,2529.094988147273,131.8913052676703,175052.30142045452
87,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,ADMINISTRATION,170.3047619047619,128.31428571428572,1326.2952380952381,116.82857142857142,3170.0,250.07619047619048,60.857142857142854,1904.7729370271204,847.344162492142,1999.2367203991398,-123.07533964836284,150197.68523809523
88,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,EMPLOYEE,170.86238532110093,130.4678899082569,1294.1559633027523,117.81651376146789,3170.0,242.88073394495413,61.08256880733945,1893.195238494048,845.4976056756199,1989.5045152394848,-132.82882022908964,150360.93256880733
89,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,BUDGET OWNER,148.83177570093457,128.0373831775701,1365.803738317757,115.4392523364486,3170.0,262.4392523364486,63.13084112149533,1911.330709734771,849.061513028501,2302.6683306759405,-52.213532546607695,165697.75327102805
90,Request For Payment REJECTED by ADMINISTRATION,organizational unit 65456,task 427,True,0.0,project 503,STAFF MEMBER,ADMINISTRATION,167.42372881355934,127.15254237288136,1435.8983050847457,119.79661016949153,3170.0,263.135593220339,71.86440677966101,1969.408198773503,852.1251519203817,2137.9049387638165,-155.6856494945518,160419.3036723164
91,Request For Payment REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,171.15625,126.703125,1423.375,119.28125,3170.0,254.96875,72.53125,2035.2794731580452,841.9207982316875,2133.999015252334,-216.62013844831017,157988.48619791667
