state,last_action_name,Permit TaskNumber,Permit OrganizationalEntity,DeclarationNumber,Permit travel permit number,travel permit number,Permit BudgetNumber,Permit ProjectNumber,Permit ID,Permit id,BudgetNumber,Amount,RequestedAmount,OriginalAmount,Permit RequestedBudget,AdjustedAmount,execution_time_minutes,remaining_time_minutes,initial
66,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,medium,medium,medium,medium,False
67,Declaration REJECTED by PRE_APPROVER,task 427,organizational unit 65454,low,medium,low,medium,high,low,medium,low,high,high,high,low,high,high,high,False
68,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,high,high,high,medium,high,high,medium,False
69,Declaration APPROVED by PRE_APPROVER,task 427,organizational unit 65454,low,medium,low,medium,high,low,medium,low,low,low,low,low,low,high,high,False
70,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,medium,False
71,Request Payment,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,low,False
72,Payment Handled,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,low,False
73,Start trip,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,medium,False
74,End trip,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,medium,False
75,archive_application,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,low,False
76,Declaration REJECTED by SUPERVISOR,task 427,organizational unit 65454,low,low,low,high,high,low,low,low,high,high,high,low,high,high,high,False
77,Declaration REJECTED by MISSING,task 427,organizational unit 65454,low,medium,low,medium,high,low,medium,low,low,low,low,low,low,high,high,False
78,Declaration APPROVED by PRE_APPROVER,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,high,high,high,low,high,high,high,False
79,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,high,high,high,low,high,high,high,False
80,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,high,high,high,low,high,high,high,False
81,Declaration SAVED by EMPLOYEE,task 427,organizational unit 65454,high,medium,low,low,high,low,medium,medium,low,low,low,high,low,high,high,False
82,Declaration REJECTED by SUPERVISOR,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,low,low,low,high,low,high,high,False
83,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65454,high,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,medium,medium,False
84,Declaration REJECTED by MISSING,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,medium,medium,medium,low,medium,high,high,False
85,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65454,high,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,medium,medium,False
86,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,high,high,high,low,high,low,medium,False
87,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,low,low,low,low,low,low,medium,False
88,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,high,high,high,medium,high,medium,medium,False
89,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65454,low,low,medium,medium,medium,low,low,medium,medium,medium,medium,medium,medium,medium,low,False
90,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65456,low,low,low,low,medium,low,low,medium,medium,medium,medium,medium,medium,medium,low,False
91,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65458,low,low,low,high,medium,low,low,medium,high,high,high,high,high,high,low,False
92,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,low,low,low,high,medium,low,low,medium,high,high,high,high,high,medium,low,False
93,Declaration REJECTED by BUDGET OWNER,missing,organizational unit 65460,low,low,low,low,low,low,low,medium,high,high,high,medium,high,medium,low,False
94,Send Reminder,task 427,organizational unit 65458,high,low,low,medium,high,low,low,medium,low,low,low,low,low,medium,medium,False
95,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,low,low,medium,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,high,False
96,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,low,low,medium,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,high,False
97,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,low,low,medium,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,high,False
98,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65456,low,low,medium,low,medium,medium,low,medium,low,low,low,low,low,low,medium,False
99,Permit APPROVED by SUPERVISOR,task 427,organizational unit 65458,low,low,medium,high,low,low,low,medium,high,high,high,high,high,high,high,False
100,Permit FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,low,low,medium,high,low,low,low,medium,high,high,high,high,high,high,high,False
101,Send Reminder,task 427,organizational unit 65458,low,low,medium,low,low,low,low,medium,low,low,low,low,low,high,medium,False
102,Permit REJECTED by ADMINISTRATION,task 427,organizational unit 65459,high,low,low,high,medium,low,low,medium,low,low,low,low,low,low,high,False
103,Permit REJECTED by EMPLOYEE,missing,organizational unit 65456,high,low,low,medium,low,low,low,medium,low,low,low,high,low,medium,high,False
104,Permit REJECTED by SUPERVISOR,missing,organizational unit 65466,low,low,low,low,low,low,low,medium,low,low,low,medium,low,high,high,False
105,Permit REJECTED by EMPLOYEE,missing,organizational unit 65466,low,low,medium,low,low,low,low,medium,medium,medium,medium,high,medium,high,high,False
106,Permit REJECTED by ADMINISTRATION,missing,organizational unit 65454,low,low,medium,high,low,medium,low,medium,high,high,high,high,high,low,high,False
107,Permit REJECTED by SUPERVISOR,missing,organizational unit 65456,high,low,medium,low,low,low,low,medium,low,low,low,high,low,high,high,False
108,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,high,low,medium,low,low,medium,low,high,low,low,low,medium,low,medium,high,False
109,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,high,low,medium,low,low,medium,low,high,low,low,low,medium,low,medium,high,False
110,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65456,high,low,medium,low,low,medium,low,high,low,low,low,medium,low,medium,high,False
111,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,high,low,medium,high,low,medium,low,medium,low,low,low,high,low,low,high,False
112,Permit REJECTED by BUDGET OWNER,task 427,organizational unit 65458,low,low,medium,high,high,medium,low,high,low,low,low,low,low,low,medium,False
113,Permit APPROVED by SUPERVISOR,missing,organizational unit 65456,high,low,medium,high,low,medium,low,high,low,low,low,high,low,high,high,False
114,Permit FINAL_APPROVED by DIRECTOR,missing,organizational unit 65456,high,low,medium,high,low,medium,low,high,low,low,low,high,low,high,high,False
115,Declaration REJECTED by DIRECTOR,task 427,organizational unit 65458,low,low,medium,high,high,medium,low,medium,low,low,low,high,low,high,low,False
116,Send Reminder,missing,organizational unit 65454,high,low,medium,low,medium,medium,low,medium,low,low,low,low,low,low,low,False
117,start,task 427,organizational unit 65456,low,medium,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,low,high,True
118,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,high,medium,medium,medium,medium,medium,low,high,False
119,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,high,medium,medium,medium,medium,medium,low,high,False
120,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,medium,medium,medium,medium,medium,medium,high,high,False
121,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65456,low,medium,medium,low,medium,medium,medium,high,low,low,low,low,low,low,medium,False
122,Start trip,task 427,organizational unit 65456,low,medium,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,low,medium,False
123,End trip,task 427,organizational unit 65456,low,medium,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,low,medium,False
124,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,high,high,high,high,medium,high,low,medium,False
125,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65456,low,medium,medium,medium,low,medium,medium,high,medium,medium,medium,medium,medium,low,low,False
126,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,False
127,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,high,medium,medium,medium,low,medium,low,low,False
128,Request Payment,task 427,organizational unit 65456,low,medium,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,low,low,False
129,Payment Handled,task 427,organizational unit 65456,low,medium,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,low,low,False
130,archive_application,task 427,organizational unit 65456,low,medium,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,low,low,False
131,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,high,high,high,high,high,high,medium,medium,False
132,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65456,low,medium,medium,low,low,medium,low,high,high,high,high,high,high,medium,low,False
133,Permit APPROVED by SUPERVISOR,task 427,organizational unit 65456,low,medium,medium,high,medium,medium,low,medium,high,high,high,high,high,high,high,False
134,Permit FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65456,low,medium,medium,high,medium,medium,low,medium,high,high,high,high,high,high,high,False
135,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65458,low,medium,medium,high,high,medium,medium,high,high,high,high,high,high,medium,low,False
136,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,low,medium,medium,high,high,medium,medium,high,high,high,high,high,high,medium,low,False
137,Permit REJECTED by BUDGET OWNER,missing,organizational unit 65466,low,medium,medium,low,low,medium,low,medium,medium,medium,medium,high,medium,medium,high,False
138,Permit REJECTED by EMPLOYEE,missing,organizational unit 65466,low,medium,medium,low,low,medium,medium,high,high,high,high,high,high,medium,medium,False
139,Send Reminder,missing,organizational unit 65458,low,medium,medium,low,low,medium,low,medium,high,high,high,medium,high,high,medium,False
140,Permit REJECTED by ADMINISTRATION,missing,organizational unit 65454,low,medium,medium,medium,low,medium,medium,high,high,high,high,low,high,low,medium,False
141,Permit REJECTED by SUPERVISOR,missing,organizational unit 65456,low,medium,medium,low,low,medium,medium,medium,high,high,high,high,high,high,high,False
142,Declaration REJECTED by BUDGET OWNER,missing,organizational unit 65455,low,medium,medium,low,low,medium,medium,medium,low,low,low,low,low,low,low,False
143,Declaration REJECTED by SUPERVISOR,missing,organizational unit 65457,low,medium,medium,high,low,medium,low,medium,high,high,high,low,high,high,low,False
144,Permit REJECTED by ADMINISTRATION,missing,organizational unit 65458,high,low,medium,high,low,medium,low,medium,low,low,low,low,low,medium,low,False
145,Permit REJECTED by EMPLOYEE,missing,organizational unit 65458,high,low,medium,high,low,medium,low,medium,low,low,low,low,low,medium,low,False
146,start,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,True
147,Start trip,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,False
148,End trip,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,False
149,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65458,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,False
150,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65458,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,False
151,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,low,low,low,low,low,low,high,False
152,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,False
153,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,False
154,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,low,low,low,medium,low,medium,low,False
155,Request Payment,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,False
156,Payment Handled,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,False
157,archive_application,task 427,organizational unit 65458,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,False
158,Permit APPROVED by BUDGET OWNER,missing,organizational unit 65458,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,False
159,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,medium,high,high,high,high,high,medium,medium,False
160,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65456,low,medium,medium,low,low,medium,medium,medium,high,high,high,high,high,medium,low,False
161,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65458,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,medium,low,medium,low,False
162,Send Reminder,missing,organizational unit 65458,low,medium,medium,low,low,medium,medium,medium,low,low,low,medium,low,high,medium,False
163,Permit APPROVED by SUPERVISOR,missing,organizational unit 65458,medium,medium,medium,high,low,medium,medium,medium,high,high,high,high,high,high,high,False
164,Permit FINAL_APPROVED by DIRECTOR,missing,organizational unit 65458,medium,medium,medium,high,low,medium,medium,medium,high,high,high,high,high,high,high,False
165,Declaration APPROVED by SUPERVISOR,missing,organizational unit 65457,medium,medium,medium,high,low,medium,medium,medium,high,high,high,high,high,high,low,False
166,Declaration FINAL_APPROVED by DIRECTOR,missing,organizational unit 65457,medium,medium,medium,high,low,medium,medium,medium,high,high,high,high,high,high,low,False
167,Declaration REJECTED by SUPERVISOR,missing,organizational unit 65456,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,False
168,Permit REJECTED by ADMINISTRATION,task 427,organizational unit 65454,low,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,False
169,Permit REJECTED by EMPLOYEE,missing,organizational unit 65458,medium,medium,medium,high,medium,medium,medium,high,high,high,high,high,high,high,high,False
170,Declaration REJECTED by BUDGET OWNER,missing,organizational unit 65458,low,medium,medium,low,low,medium,medium,medium,low,low,low,low,low,high,medium,False
171,Permit REJECTED by BUDGET OWNER,missing,organizational unit 65458,low,medium,medium,high,low,medium,medium,high,high,high,high,high,high,medium,high,False
172,Permit REJECTED by SUPERVISOR,task 427,organizational unit 65456,medium,medium,medium,high,high,medium,medium,high,high,high,high,high,high,high,high,False
173,start,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,medium,low,low,high,True
174,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,low,low,low,medium,False
175,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,low,medium,low,medium,False
176,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,low,low,low,medium,False
177,Start trip,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,medium,low,low,medium,False
178,End trip,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,medium,low,low,medium,False
179,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,low,medium,False
180,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65456,medium,medium,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,low,medium,False
181,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65456,medium,medium,medium,low,medium,medium,medium,high,medium,medium,medium,high,medium,low,low,False
182,archive_application,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,medium,low,low,low,False
183,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,medium,medium,medium,low,medium,medium,medium,high,low,low,low,low,low,low,medium,False
184,Permit APPROVED by SUPERVISOR,task 427,organizational unit 65458,medium,medium,medium,high,medium,medium,medium,high,high,high,high,high,high,medium,high,False
185,Permit FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,medium,medium,medium,high,medium,medium,medium,high,high,high,high,high,high,medium,high,False
186,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65456,medium,medium,high,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,low,medium,False
187,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65456,medium,medium,medium,low,medium,medium,medium,high,low,low,low,low,low,low,low,False
188,Declaration REJECTED by SUPERVISOR,missing,organizational unit 65456,medium,medium,medium,medium,low,medium,medium,high,high,high,high,high,high,medium,medium,False
189,Declaration SAVED by EMPLOYEE,task 427,organizational unit 65454,high,medium,medium,low,low,medium,medium,medium,low,low,low,low,low,low,low,False
190,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65458,medium,medium,medium,high,high,medium,medium,high,high,high,high,high,high,medium,low,False
191,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,medium,medium,medium,high,high,medium,medium,high,high,high,high,high,high,medium,low,False
192,Request Payment,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,low,medium,low,low,False
193,Payment Handled,task 427,organizational unit 65456,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,low,medium,low,low,False
194,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65455,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,low,low,low,low,False
195,Permit REJECTED by SUPERVISOR,task 427,organizational unit 65456,medium,medium,medium,high,high,medium,medium,high,high,high,high,low,high,low,medium,False
196,Permit REJECTED by EMPLOYEE,task 427,organizational unit 65454,medium,medium,medium,low,high,medium,medium,high,high,high,high,low,high,low,medium,False
197,Send Reminder,task 427,organizational unit 65458,medium,high,high,high,high,medium,medium,medium,medium,medium,medium,low,medium,high,medium,False
