state,action_index,action,next_state,probability
57,7,Payment,57,1.0
86,8,Insert Date Appeal to Prefecture,109,1.0
109,9,Send Appeal to Prefecture,110,1.0
110,10,Receive Result Appeal from Prefecture,111,1.0
111,4,Add penalty,87,1.0
87,11,Notify Result Appeal to Offender,112,1.0
112,5,Send for Credit Collection,88,1.0
63,9,Send Appeal to Prefecture,93,1.0
93,10,Receive Result Appeal from Prefecture,90,1.0
62,12,Appeal to Judge,48,1.0
106,8,Insert Date Appeal to Prefecture,102,1.0
103,6,archive_application,100,1.0
57,5,Send for Credit Collection,88,1.0
76,7,Payment,76,1.0
63,12,Appeal to Judge,48,1.0
85,7,Payment,57,1.0
74,12,Appeal to Judge,48,1.0
74,8,Insert Date Appeal to Prefecture,113,1.0
113,4,Add penalty,75,1.0
76,9,Send Appeal to Prefecture,114,1.0
114,6,archive_application,77,1.0
113,9,Send Appeal to Prefecture,114,1.0
114,4,Add penalty,75,1.0
75,10,Receive Result Appeal from Prefecture,115,1.0
115,11,Notify Result Appeal to Offender,116,1.0
116,12,Appeal to Judge,48,1.0
75,8,Insert Date Appeal to Prefecture,113,1.0
114,10,Receive Result Appeal from Prefecture,115,1.0
116,5,Send for Credit Collection,89,1.0
113,7,Payment,76,1.0
21,9,Send Appeal to Prefecture,41,1.0
40,10,Receive Result Appeal from Prefecture,42,1.0
15,3,Insert Fine Notification,11,1.0
42,4,Add penalty,20,1.0
20,11,Notify Result Appeal to Offender,43,1.0
41,7,Payment,23,1.0
46,9,Send Appeal to Prefecture,45,1.0
42,9,Send Appeal to Prefecture,41,1.0
41,11,Notify Result Appeal to Offender,43,1.0
48,8,Insert Date Appeal to Prefecture,53,1.0
53,4,Add penalty,49,1.0
10,8,Insert Date Appeal to Prefecture,44,1.0
45,7,Payment,15,1.0
18,8,Insert Date Appeal to Prefecture,40,1.0
40,3,Insert Fine Notification,19,1.0
19,9,Send Appeal to Prefecture,41,1.0
46,7,Payment,15,1.0
44,3,Insert Fine Notification,11,1.0
11,9,Send Appeal to Prefecture,45,1.0
9,8,Insert Date Appeal to Prefecture,44,1.0
44,2,Send Fine,10,1.0
46,12,Appeal to Judge,48,1.0
48,11,Notify Result Appeal to Offender,108,1.0
23,9,Send Appeal to Prefecture,41,1.0
42,7,Payment,23,1.0
31,9,Send Appeal to Prefecture,33,1.0
31,3,Insert Fine Notification,27,1.0
50,5,Send for Credit Collection,52,1.0
12,12,Appeal to Judge,48,1.0
35,12,Appeal to Judge,48,1.0
31,11,Notify Result Appeal to Offender,35,1.0
39,12,Appeal to Judge,48,1.0
38,12,Appeal to Judge,48,1.0
7,3,Insert Fine Notification,3,1.0
52,9,Send Appeal to Prefecture,54,1.0
54,6,archive_application,51,1.0
38,7,Payment,7,1.0
69,7,Payment,50,1.0
86,7,Payment,57,1.0
57,4,Add penalty,87,1.0
86,12,Appeal to Judge,48,1.0
75,9,Send Appeal to Prefecture,114,1.0
116,7,Payment,76,1.0
82,8,Insert Date Appeal to Prefecture,117,1.0
117,7,Payment,101,1.0
109,4,Add penalty,87,1.0
87,9,Send Appeal to Prefecture,110,1.0
111,11,Notify Result Appeal to Offender,112,1.0
112,7,Payment,57,1.0
108,7,Payment,50,1.0
54,10,Receive Result Appeal from Prefecture,107,1.0
93,7,Payment,64,1.0
91,12,Appeal to Judge,48,1.0
115,7,Payment,76,1.0
63,8,Insert Date Appeal to Prefecture,92,1.0
49,9,Send Appeal to Prefecture,54,1.0
108,12,Appeal to Judge,48,1.0
69,8,Insert Date Appeal to Prefecture,53,1.0
53,3,Insert Fine Notification,70,1.0
70,9,Send Appeal to Prefecture,54,1.0
75,12,Appeal to Judge,48,1.0
87,10,Receive Result Appeal from Prefecture,111,1.0
27,9,Send Appeal to Prefecture,33,1.0
97,8,Insert Date Appeal to Prefecture,102,1.0
102,4,Add penalty,98,1.0
98,9,Send Appeal to Prefecture,103,1.0
105,7,Payment,106,1.0
114,7,Payment,76,1.0
49,12,Appeal to Judge,48,1.0
98,10,Receive Result Appeal from Prefecture,104,1.0
99,9,Send Appeal to Prefecture,103,1.0
88,9,Send Appeal to Prefecture,110,1.0
110,6,archive_application,58,1.0
113,10,Receive Result Appeal from Prefecture,115,1.0
89,9,Send Appeal to Prefecture,114,1.0
115,4,Add penalty,75,1.0
75,11,Notify Result Appeal to Offender,116,1.0
64,3,Insert Fine Notification,62,1.0
92,10,Receive Result Appeal from Prefecture,90,1.0
50,2,Send Fine,69,1.0
69,6,archive_application,51,1.0
87,12,Appeal to Judge,48,1.0
87,8,Insert Date Appeal to Prefecture,109,1.0
110,4,Add penalty,87,1.0
101,3,Insert Fine Notification,81,1.0
110,7,Payment,57,1.0
103,4,Add penalty,98,1.0
91,4,Add penalty,63,1.0
81,8,Insert Date Appeal to Prefecture,117,1.0
117,9,Send Appeal to Prefecture,118,1.0
118,4,Add penalty,82,1.0
82,10,Receive Result Appeal from Prefecture,119,1.0
119,11,Notify Result Appeal to Offender,120,1.0
120,7,Payment,101,1.0
120,5,Send for Credit Collection,83,1.0
64,8,Insert Date Appeal to Prefecture,92,1.0
93,6,archive_application,66,1.0
76,3,Insert Fine Notification,74,1.0
50,3,Insert Fine Notification,70,1.0
90,4,Add penalty,63,1.0
68,8,Insert Date Appeal to Prefecture,53,1.0
54,2,Send Fine,69,1.0
104,4,Add penalty,98,1.0
98,11,Notify Result Appeal to Offender,105,1.0
118,10,Receive Result Appeal from Prefecture,119,1.0
119,4,Add penalty,82,1.0
82,11,Notify Result Appeal to Offender,120,1.0
103,7,Payment,106,1.0
117,4,Add penalty,82,1.0
82,9,Send Appeal to Prefecture,118,1.0
119,7,Payment,101,1.0
102,10,Receive Result Appeal from Prefecture,104,1.0
104,9,Send Appeal to Prefecture,103,1.0
105,12,Appeal to Judge,48,1.0
120,12,Appeal to Judge,48,1.0
96,8,Insert Date Appeal to Prefecture,102,1.0
102,3,Insert Fine Notification,97,1.0
97,12,Appeal to Judge,48,1.0
48,9,Send Appeal to Prefecture,54,1.0
104,7,Payment,106,1.0
90,7,Payment,64,1.0
115,12,Appeal to Judge,48,1.0
50,12,Appeal to Judge,48,1.0
111,7,Payment,57,1.0
48,6,archive_application,51,1.0
85,8,Insert Date Appeal to Prefecture,109,1.0
110,3,Insert Fine Notification,86,1.0
63,11,Notify Result Appeal to Offender,91,1.0
61,8,Insert Date Appeal to Prefecture,92,1.0
92,3,Insert Fine Notification,62,1.0
62,9,Send Appeal to Prefecture,93,1.0
113,12,Appeal to Judge,48,1.0
91,9,Send Appeal to Prefecture,93,1.0
93,5,Send for Credit Collection,65,1.0
91,6,archive_application,66,1.0
92,7,Payment,64,1.0
115,9,Send Appeal to Prefecture,114,1.0
90,9,Send Appeal to Prefecture,93,1.0
62,10,Receive Result Appeal from Prefecture,90,1.0
90,8,Insert Date Appeal to Prefecture,92,1.0
93,11,Notify Result Appeal to Offender,91,1.0
93,12,Appeal to Judge,48,1.0
92,12,Appeal to Judge,48,1.0
64,10,Receive Result Appeal from Prefecture,90,1.0
61,9,Send Appeal to Prefecture,93,1.0
93,3,Insert Fine Notification,62,1.0
