state,last_action_name,article,vehicleClass,lastSent,notificationType,dismissal,amount,points,expense,execution_time_minutes,remaining_time_minutes,initial
38,Receive Result Appeal from Prefecture,157.0,A,P,P,,medium,medium,high,medium,low,False
39,Notify Result Appeal to Offender,157.0,A,P,P,,medium,high,high,medium,low,False
40,Insert Date Appeal to Prefecture,157.0,A,P,P,,low,low,high,medium,high,False
41,Send Appeal to Prefecture,157.0,A,P,P,,low,low,high,high,medium,False
42,Receive Result Appeal from Prefecture,157.0,A,P,P,,medium,low,high,high,medium,False
43,Notify Result Appeal to Offender,157.0,A,P,P,,medium,low,high,high,medium,False
44,Insert Date Appeal to Prefecture,157.0,A,P,P,,low,high,high,high,high,False
45,Send Appeal to Prefecture,157.0,A,P,P,,medium,medium,high,high,medium,False
46,Receive Result Appeal from Prefecture,157.0,A,P,P,,medium,high,high,high,medium,False
47,Notify Result Appeal to Offender,157.0,A,P,P,,medium,high,high,high,medium,False
48,Appeal to Judge,157.0,A,P,P,,high,high,medium,high,high,False
49,Add penalty,158.0,A,N,P,,high,high,medium,medium,high,False
50,Payment,7.0,A,,P,,high,medium,low,low,low,False
51,archive_application,158.0,A,N,P,,high,high,low,low,low,False
52,Send for Credit Collection,158.0,A,N,P,,high,high,medium,high,low,False
53,Insert Date Appeal to Prefecture,142.0,A,N,P,,high,high,high,medium,high,False
54,Send Appeal to Prefecture,142.0,A,N,P,,high,high,high,high,medium,False
55,start,7.0,A,,,,low,medium,low,low,medium,True
56,Create Fine,7.0,A,,,,low,medium,low,low,medium,False
57,Payment,7.0,A,,,,medium,medium,low,low,low,False
58,archive_application,7.0,A,,P,,medium,medium,low,low,low,False
59,start,142.0,A,,,,medium,high,low,low,high,True
60,Create Fine,142.0,A,,,,medium,high,low,low,high,False
61,Send Fine,142.0,A,,,,high,high,medium,medium,high,False
62,Insert Fine Notification,142.0,A,N,P,,high,high,medium,medium,high,False
63,Add penalty,142.0,A,N,P,,high,high,medium,medium,high,False
64,Payment,7.0,A,,,,high,high,low,low,low,False
65,Send for Credit Collection,142.0,A,N,P,,high,high,medium,high,low,False
66,archive_application,142.0,A,N,P,,high,high,low,low,low,False
67,start,158.0,A,,,,medium,medium,low,low,medium,True
68,Create Fine,158.0,A,,,,medium,medium,low,low,medium,False
69,Send Fine,158.0,A,,,,medium,medium,medium,medium,high,False
70,Insert Fine Notification,158.0,A,N,P,,medium,medium,medium,medium,high,False
71,start,7.0,A,,,,medium,high,low,low,medium,True
72,Create Fine,7.0,A,,,,medium,high,low,low,medium,False
73,Send Fine,158.0,A,,,,medium,high,medium,medium,high,False
74,Insert Fine Notification,158.0,A,P,P,,medium,high,medium,high,high,False
75,Add penalty,158.0,A,P,P,,high,high,medium,high,high,False
76,Payment,7.0,A,,,,medium,medium,low,low,low,False
77,archive_application,7.0,A,,P,,high,high,low,low,low,False
78,start,158.0,A,,,,low,low,low,low,medium,True
79,Create Fine,158.0,A,,,,low,low,low,low,medium,False
80,Send Fine,158.0,A,,,,low,low,medium,medium,high,False
81,Insert Fine Notification,158.0,A,N,P,,low,low,medium,medium,high,False
82,Add penalty,158.0,A,N,P,,high,low,medium,medium,medium,False
83,Send for Credit Collection,158.0,A,N,P,,high,low,medium,high,low,False
84,archive_application,158.0,A,N,P,,medium,low,low,low,low,False
85,Send Fine,158.0,A,,,,low,high,medium,high,high,False
86,Insert Fine Notification,158.0,A,P,P,,low,high,medium,high,high,False
87,Add penalty,158.0,A,P,P,,high,high,medium,high,high,False
88,Send for Credit Collection,158.0,A,P,P,,high,medium,medium,high,low,False
89,Send for Credit Collection,158.0,A,P,P,,high,high,medium,high,low,False
90,Receive Result Appeal from Prefecture,142.0,A,N,P,,high,high,high,medium,medium,False
91,Notify Result Appeal to Offender,142.0,A,N,P,,high,high,high,high,medium,False
92,Insert Date Appeal to Prefecture,142.0,A,N,P,,high,high,high,medium,high,False
93,Send Appeal to Prefecture,142.0,A,N,P,,high,high,high,medium,high,False
94,start,158.0,A,,,,low,low,low,low,medium,True
95,Create Fine,158.0,A,,,,low,low,low,low,medium,False
96,Send Fine,158.0,A,,,,low,low,medium,medium,high,False
97,Insert Fine Notification,158.0,A,N,P,,low,low,medium,medium,high,False
98,Add penalty,158.0,A,N,P,,high,low,medium,medium,medium,False
99,Send for Credit Collection,158.0,A,N,P,,high,low,medium,high,low,False
100,archive_application,158.0,A,N,P,,medium,low,low,low,low,False
101,Payment,158.0,A,,,,low,low,low,low,low,False
102,Insert Date Appeal to Prefecture,7.0,A,N,P,,medium,low,high,medium,medium,False
103,Send Appeal to Prefecture,7.0,A,N,P,,medium,low,high,medium,low,False
104,Receive Result Appeal from Prefecture,7.0,A,N,P,,high,low,high,medium,low,False
105,Notify Result Appeal to Offender,7.0,A,N,P,,high,low,high,medium,low,False
106,Payment,7.0,A,,,,low,low,low,low,low,False
107,Receive Result Appeal from Prefecture,142.0,A,P,P,,high,high,high,high,high,False
108,Notify Result Appeal to Offender,142.0,A,N,P,,high,high,high,high,high,False
109,Insert Date Appeal to Prefecture,7.0,A,N,P,,medium,low,high,medium,high,False
110,Send Appeal to Prefecture,7.0,A,N,P,,high,low,high,medium,medium,False
111,Receive Result Appeal from Prefecture,7.0,A,N,P,,high,low,high,medium,medium,False
112,Notify Result Appeal to Offender,7.0,A,N,P,,high,low,high,medium,low,False
113,Insert Date Appeal to Prefecture,158.0,A,P,P,,high,high,high,high,high,False
114,Send Appeal to Prefecture,158.0,A,P,P,,high,high,high,high,high,False
115,Receive Result Appeal from Prefecture,158.0,A,P,P,,high,high,high,high,medium,False
116,Notify Result Appeal to Offender,158.0,A,P,P,,high,high,high,high,medium,False
117,Insert Date Appeal to Prefecture,7.0,A,N,P,,medium,low,high,medium,medium,False
118,Send Appeal to Prefecture,7.0,A,N,P,,medium,low,high,medium,medium,False
119,Receive Result Appeal from Prefecture,7.0,A,N,P,,high,low,high,medium,low,False
120,Notify Result Appeal to Offender,7.0,A,N,P,,high,low,high,medium,low,False
